
Scanning BugHost New Ilped 2025



Created Boychongzen aka Xroot





20-nov-04.midtrans.com	35.240.214.60	
openapi.partners.stg.midtrans.com	54.151.238.138	
openapi.sandbox.midtrans.com	34.143.128.22	
ops.midtrans.com	103.208.23.22	
panapi.stg.midtrans.com	117.102.118.210	
partner-api.midtrans.com	54.179.122.87	
partner-api.stg.midtrans.com	54.151.238.138	
partner-profile-service.midtrans.com	46.137.248.76	
partner-profile-service.stg.midtrans.com	54.151.238.138	
partners.midtrans.com	103.208.23.36	
partners.sg.midtrans.com	35.247.141.222	
partners.status.stg.midtrans.com	8.215.28.244	
passport.midtrans.com	172.67.74.70	
passport.stg.midtrans.com	8.215.21.157	
payment-link-assets.midtrans.com	35.240.134.76	
payment-link-assets.stg.midtrans.com	35.240.159.62	
payments.midtrans.com	104.26.15.196	
pixel-gateway.midtrans.com	34.143.212.54	
pixel-gateway.stg.midtrans.com	34.143.187.239	
pixel-gcp-gateway.midtrans.com	35.240.134.76	
pixel-gcp.midtrans.com	35.240.134.76	
pixel-gcp.stg.midtrans.com	35.240.159.62	
pixel-notification.midtrans.com	35.240.134.76	
pixel-notification.stg.midtrans.com	117.102.118.210	
pixel.midtrans.com	35.240.134.76	
pixel.stg.midtrans.com	35.240.159.62	
pki-ap-gateway-mastercard.midtrans.com	43.218.13.178	
podinfo-gcp.midtrans.com	104.26.14.196	
podinfo-stg.midtrans.com	34.117.104.209	
promo-engine.stg.midtrans.com	43.218.97.2	
scheduler-service.midtrans.com	35.240.134.76	
scheduler-service.stg.midtrans.com	35.240.159.62	
simulator.sandbox.midtrans.com	34.101.100.187	
snap-assets.midtrans.com	104.26.14.196	
snap-docs.midtrans.com	172.67.74.70	
snap-merchants-staging.midtrans.com	54.151.238.138	
status.midtrans.com	104.26.15.196	
support.midtrans.com	104.26.14.196	
temu.midtrans.com	216.239.36.21	
test-cashloan.midtrans.com	35.244.218.166	
valas-service.midtrans.com	54.251.86.142	
valas-service.stg.midtrans.com	54.151.238.138	
vpn.jkt.midtrans.com	35.240.244.243	
vt-pixels.midtrans.com	104.26.15.196	
vtweb2.midtrans.com	172.67.74.70	
www.midtrans.com	104.26.15.196	
		
